subject,trial,muscle,r_lag0,r_best,lag_s
subject3,walking1,soleus_l,0.7094403819334992,0.8231426968797385,0.1
subject3,walking1,gasmed_l,0.09653216119588796,0.25154991701658513,0.09
subject3,walking1,tibant_l,0.0037011642450565313,0.04748510002986572,0.12
subject3,walking1,recfem_l,-0.1302094687251309,-0.04314870520455851,0.05
subject3,walking1,vasmed_l,0.22907495583565637,0.22907495583565637,0.0
subject3,walking1,vaslat_l,0.3363874916885343,0.3363874916885343,0.0
subject3,walking1,semiten_l,0.43211056957894334,0.43211056957894334,0.0
subject3,walking1,bflh_l,-0.054940728970860164,-0.054940728970860164,0.0
subject3,walking1,glmed1_l,0.8672585760616749,0.9129012446559135,0.03
subject3,walking1,soleus_r,0.7996121300189365,0.7996121300189365,0.0
subject3,walking1,gasmed_r,0.1844150982838863,0.1844150982838863,0.0
subject3,walking1,vasmed_r,-0.15027327557969528,-0.12618264365622664,0.12
subject3,walking1,vaslat_r,-0.07609224623994434,-0.07609224623994434,0.0
subject3,walking1,semiten_r,0.9409690246948065,0.9409690246948065,0.0
subject3,walking1,bflh_r,0.6023024576499479,0.6023024576499479,0.0
subject3,walking1,glmed1_r,0.6028726047751053,0.6028726047751053,0.0
subject3,walking2,soleus_l,0.8756733774811035,0.8756733774811035,0.0
subject3,walking2,gasmed_l,0.027036339114152035,0.1968852322886028,0.1
subject3,walking2,tibant_l,0.2062795846886487,0.23809546704658074,0.12
subject3,walking2,recfem_l,0.08429041039773032,0.14600118823114108,0.04
subject3,walking2,vasmed_l,0.2496803829342692,0.2496803829342692,0.0
subject3,walking2,vaslat_l,0.2659374150078353,0.2659374150078353,0.0
subject3,walking2,semiten_l,0.6159699941390873,0.6159699941390873,0.0
subject3,walking2,bflh_l,0.27847957514938637,0.27847957514938637,0.0
subject3,walking2,glmed1_l,0.7141008059583713,0.8025221429408673,0.05
subject3,walking2,soleus_r,0.8333591079623508,0.8608482963917337,0.02
subject3,walking2,gasmed_r,-0.0638942928800911,0.005274629481240742,0.05
subject3,walking2,vasmed_r,-0.06107486553465104,-0.06107486553465104,0.0
subject3,walking2,vaslat_r,0.24201971319068388,0.24201971319068388,0.0
subject3,walking2,semiten_r,0.9137675480978028,0.9137675480978028,0.0
subject3,walking2,bflh_r,0.6989906798560507,0.6989906798560507,0.0
subject3,walking2,glmed1_r,0.48386321139021315,0.5587368428383097,0.1
subject3,walking3,soleus_l,0.8941412020792565,0.8941412020792565,0.0
subject3,walking3,gasmed_l,0.2008380045497079,0.5236338693147156,0.11
subject3,walking3,tibant_l,0.3233649681912105,0.32647082073281325,0.01
subject3,walking3,recfem_l,0.07010093290587524,0.14458867042054332,0.04
subject3,walking3,vasmed_l,0.4517515964869103,0.4517515964869103,0.0
subject3,walking3,vaslat_l,0.5287390177220699,0.5287390177220699,0.0
subject3,walking3,semiten_l,0.6497880702614856,0.6497880702614856,0.0
subject3,walking3,bflh_l,0.5684095098358105,0.5684095098358105,0.0
subject3,walking3,glmed1_l,0.8298769447923365,0.8419000657626196,0.02
subject3,walking3,soleus_r,0.6769766390103902,0.6769766390103902,0.0
subject3,walking3,gasmed_r,0.2943345669426933,0.2943345669426933,0.0
subject3,walking3,vasmed_r,-0.15876523552079236,-0.14958797937560706,0.09
subject3,walking3,vaslat_r,-0.05895493518163051,-0.05895493518163051,0.0
subject3,walking3,semiten_r,0.9382915263599549,0.9382915263599549,0.0
subject3,walking3,bflh_r,0.6048544132021524,0.6048544132021524,0.0
subject3,walking3,glmed1_r,0.6015118922415225,0.6015118922415225,0.0
subject3,walkingTS2,soleus_l,0.4400388302046229,0.5201931581214106,0.09
subject3,walkingTS2,gasmed_l,0.3398161639806372,0.3398161639806372,0.0
subject3,walkingTS2,tibant_l,0.1707343283257927,0.1707343283257927,0.0
subject3,walkingTS2,recfem_l,-0.26727966831945993,0.020334950298876116,0.12
subject3,walkingTS2,vasmed_l,0.28177401845984357,0.49539469712530715,0.12
subject3,walkingTS2,vaslat_l,0.2256402741004825,0.40392208774059835,0.12
subject3,walkingTS2,semiten_l,-0.12235837895620724,0.3522142950037024,0.12
subject3,walkingTS2,bflh_l,-0.31728119818888173,-0.31728119818888173,0.0
subject3,walkingTS2,glmed1_l,0.6001093932258781,0.6571990418374976,0.04
subject3,walkingTS2,soleus_r,0.42337763370728526,0.5556696509164777,0.07
subject3,walkingTS2,gasmed_r,0.3564163357138392,0.4250471262501991,0.12
subject3,walkingTS2,vasmed_r,0.18875784639667745,0.2905108031878414,0.12
subject3,walkingTS2,vaslat_r,0.3815708456773082,0.3815708456773082,0.0
subject3,walkingTS2,semiten_r,0.6122602800892398,0.6122602800892398,0.0
subject3,walkingTS2,bflh_r,-0.15877937451007468,-0.15877937451007468,0.0
subject3,walkingTS2,glmed1_r,0.57020601888654,0.57020601888654,0.0
subject3,walkingTS3,soleus_l,0.6218049722657091,0.6794084098537138,0.03
subject3,walkingTS3,gasmed_l,0.36442049594136294,0.36442049594136294,0.0
subject3,walkingTS3,tibant_l,0.2071321867264945,0.21226139793013796,0.02
subject3,walkingTS3,recfem_l,-0.17220172487605445,-0.17220172487605445,0.0
subject3,walkingTS3,vasmed_l,0.3129574211908409,0.3129574211908409,0.0
subject3,walkingTS3,vaslat_l,0.42513864252249817,0.42513864252249817,0.0
subject3,walkingTS3,semiten_l,-0.08885962603673309,-0.08014979579420602,0.12
subject3,walkingTS3,bflh_l,-0.41094126231231537,-0.41094126231231537,0.0
subject3,walkingTS3,glmed1_l,0.6168713073120704,0.6168713073120704,0.0
subject3,walkingTS3,soleus_r,0.5350751937825394,0.548175748968016,0.03
subject3,walkingTS3,gasmed_r,0.2193519673054233,0.24706464234968853,0.12
subject3,walkingTS3,vasmed_r,0.5554279586443983,0.5554279586443983,0.0
subject3,walkingTS3,vaslat_r,0.5594082423240198,0.5594082423240198,0.0
subject3,walkingTS3,semiten_r,0.44621866944080096,0.44621866944080096,0.0
subject3,walkingTS3,bflh_r,0.3148524560486244,0.3148524560486244,0.0
subject3,walkingTS3,glmed1_r,0.17695633231784497,0.17695633231784497,0.0
subject3,walkingTS4,soleus_l,0.5017312275383288,0.6824724581324547,0.06
subject3,walkingTS4,gasmed_l,0.28808042996976185,0.49965212945317056,0.12
subject3,walkingTS4,tibant_l,-0.17763733165782727,0.33567031919295787,0.12
subject3,walkingTS4,recfem_l,0.033483274127005795,0.033483274127005795,0.0
subject3,walkingTS4,vasmed_l,0.48565792300540794,0.48565792300540794,0.0
subject3,walkingTS4,vaslat_l,0.347225219823225,0.43229369187408,0.12
subject3,walkingTS4,semiten_l,0.36986005909415187,0.5151519787877838,0.12
subject3,walkingTS4,bflh_l,0.2204431043024427,0.2204431043024427,0.0
subject3,walkingTS4,glmed1_l,0.5571943155444811,0.5571943155444811,0.0
subject3,walkingTS4,soleus_r,0.5175131066525197,0.6429520224622647,0.07
subject3,walkingTS4,gasmed_r,0.06227886168112646,0.2859134840356043,0.12
subject3,walkingTS4,vasmed_r,0.056658512048828054,0.056658512048828054,0.0
subject3,walkingTS4,vaslat_r,0.21106705658272554,0.21106705658272554,0.0
subject3,walkingTS4,semiten_r,0.8489246798151894,0.8489246798151894,0.0
subject3,walkingTS4,bflh_r,0.3775323922704038,0.3775323922704038,0.0
subject3,walkingTS4,glmed1_r,0.1286417131421901,0.1286417131421901,0.0
