subject,trial,side,n_muscles,k_emg_90,k_so_90_same_muscles,C_match_mean_r,C_match_min_r
subject3,walking1,r,7,3,4,0.8440229853291236,0.7638499766928325
subject3,walking1,l,9,2,4,0.682003274550843,0.5588070364400236
subject3,walking2,r,7,2,4,0.8453702933495447,0.7822237638432942
subject3,walking2,l,9,2,4,0.706681131341859,0.5629551364644045
subject3,walking3,r,7,3,4,0.8073524750240918,0.741836762094105
subject3,walking3,l,9,3,4,0.8028819670565076,0.6585850286213422
subject3,walkingTS2,r,7,2,4,0.7043363132337932,0.6580733213953897
subject3,walkingTS2,l,9,2,4,0.6911652141649215,0.6435463441277126
subject3,walkingTS3,r,7,2,4,0.8524887042707066,0.840515149048571
subject3,walkingTS3,l,9,2,4,0.5536170480180836,0.5508295745590156
subject3,walkingTS4,r,7,3,3,0.6571758486543974,0.47603790390974826
subject3,walkingTS4,l,9,3,4,0.6662189290741108,0.4920619997799151
subject4,walking1,r,7,2,4,0.7808140475354621,0.7611777578057667
subject4,walking1,l,9,3,4,0.7640201745264276,0.6373463137180786
subject4,walking2,r,7,2,4,0.8309126331086458,0.8050326007008773
subject4,walking2,l,9,3,4,0.7536932903330044,0.691446851916609
subject4,walking4,r,7,2,4,0.7718560058392482,0.6759019584570833
subject4,walking4,l,9,3,4,0.7688778931548819,0.7673631754553901
subject4,walkingTS1,r,7,2,3,0.7890053688439554,0.7477668829339746
subject4,walkingTS1,l,9,2,4,0.6940897551113165,0.6672720487058168
subject4,walkingTS2,r,7,2,3,0.7771131172639286,0.7445940742255963
subject4,walkingTS2,l,9,2,4,0.5995715703594523,0.3870319081660375
subject4,walkingTS3,r,7,2,4,0.7022355952288849,0.7019213402552997
subject4,walkingTS3,l,9,2,4,0.6932756473806473,0.6204350546361402
subject5,walking1,r,7,3,4,0.7869588117981988,0.6689085471021899
subject5,walking1,l,9,3,4,0.6449244065308172,0.338477670776092
subject5,walking2,r,7,3,4,0.7483416833759282,0.48289470182742994
subject5,walking2,l,9,3,4,0.829731650539693,0.6946468635239323
subject5,walking3,r,7,3,4,0.7336025615212015,0.4292514015174657
subject5,walking3,l,9,3,4,0.7150281384001107,0.34790051488427487
subject5,walkingTS1,r,7,3,3,0.6802870771992445,0.3467336663114239
subject5,walkingTS1,l,9,3,4,0.6873322433321607,0.5289208378192652
subject5,walkingTS2,r,7,3,3,0.7671923230536827,0.5278014234516899
subject5,walkingTS2,l,9,3,5,0.5902709146734498,0.3410863251293891
subject5,walkingTS3,r,7,3,3,0.6394365170989292,0.30151460663734386
subject5,walkingTS3,l,9,3,4,0.5925735677155605,0.45392420695040814
subject7,walking1,r,7,3,4,0.8273220715131567,0.7295590574970634
subject7,walking1,l,9,3,4,0.7182913688365945,0.5581921981492028
subject7,walking2,r,7,3,4,0.692632670727368,0.6149906035220122
subject7,walking2,l,9,3,4,0.7199688300867416,0.6037344044133648
subject7,walking3,r,7,3,4,0.7723784960109383,0.7234678097677737
subject7,walking3,l,9,3,4,0.7219541313412607,0.5213603070322168
subject7,walkingTS1,r,7,2,4,0.6477249967257936,0.6316948493868173
subject7,walkingTS1,l,9,2,4,0.8505144428832776,0.7337542723680375
subject7,walkingTS2,r,7,2,3,0.6813964446968672,0.5495720706930981
subject7,walkingTS2,l,9,2,4,0.7918659330062761,0.7695843146006751
subject7,walkingTS3,r,7,3,4,0.6115032425950245,0.23605570268804055
subject7,walkingTS3,l,9,2,4,0.8353595659375961,0.7218037193065034
subject8,walking1,r,7,2,4,0.6440046292765012,0.5495109859402335
subject8,walking1,l,9,2,4,0.7806779519271722,0.7064334179416478
subject8,walking2,r,7,2,3,0.6402968079093257,0.5947873121121716
subject8,walking2,l,9,3,4,0.7453915554072753,0.5320546835528507
subject8,walking3,r,7,2,4,0.5608012988298405,0.33767701931826305
subject8,walking3,l,9,2,4,0.6651029831427757,0.6040719723075437
subject8,walkingTS1,r,7,2,3,0.7065081826693754,0.6560496229387222
subject8,walkingTS1,l,9,2,4,0.816432415462343,0.6746255945578367
subject8,walkingTS2,r,7,2,3,0.5702968561245391,0.532082108952739
subject8,walkingTS2,l,9,2,4,0.5347295337176197,0.40536581709532005
subject8,walkingTS3,r,7,2,4,0.4901524336615233,0.31377973752449523
subject8,walkingTS3,l,9,2,4,0.7394544880169533,0.6068840139590461
subject10,walking1,r,7,2,4,0.7127045995113299,0.6938215535609895
subject10,walking1,l,9,2,4,0.789961916200066,0.7043846394182991
subject10,walking2,r,7,3,4,0.8227329624749992,0.7858744720641033
subject10,walking2,l,9,3,4,0.8194390106641688,0.6557060595324297
subject10,walking3,r,7,2,4,0.738647287939318,0.6132697071283855
subject10,walking3,l,9,2,4,0.7223108954188849,0.6278156031589603
subject10,walkingTS1,r,7,2,4,0.748388563233383,0.5744952465973617
subject10,walkingTS1,l,9,2,4,0.6919814498162054,0.44487469466689067
subject10,walkingTS2,r,7,2,4,0.9101901264435864,0.9006503353834286
subject10,walkingTS2,l,9,2,4,0.7592331248589543,0.6391818116347826
subject10,walkingTS3,r,7,2,3,0.8945438944812663,0.8763718609103749
subject10,walkingTS3,l,9,2,4,0.7532326381039023,0.6463928390341442
subject11,walking2,r,7,3,4,0.8750823345001795,0.8205327640510064
subject11,walking2,l,9,3,4,0.8649425935005839,0.7546841421970399
subject11,walking3,r,7,3,4,0.8247628392482756,0.7873734832106758
subject11,walking3,l,9,3,4,0.8342971219651792,0.7167757069188886
subject11,walking4,r,7,2,4,0.7298036074830836,0.5942193057173326
subject11,walking4,l,9,3,4,0.8602309040481279,0.791013640759394
subject11,walkingTS1,r,7,2,3,0.8374375243610128,0.7802010318362624
subject11,walkingTS1,l,9,2,5,0.6393408882255738,0.5960198139628728
subject11,walkingTS2,r,7,3,3,0.7439601930150787,0.4973724128255377
subject11,walkingTS2,l,9,2,4,0.572523886195508,0.4476312623582388
subject11,walkingTS3,r,7,3,4,0.6054475266930543,0.48714563414768447
subject11,walkingTS3,l,9,3,4,0.7686019609698703,0.5763927371399188
