paths_subject3_walking1,True,4.8,6.7,1.5,1.4,0.9,2.0,4.8,4.4,2.1,2.5,0.37,1.00,0.65,0.82,0.13,0.58,0.99,0.90
paths_subject3_walking2,True,5.1,5.3,1.8,0.8,0.7,1.6,5.1,4.7,2.4,2.0,0.38,1.00,0.63,0.85,0.08,0.53,0.97,0.97
paths_subject3_walking3,True,6.8,7.9,1.2,1.3,0.8,2.3,6.8,3.6,2.5,2.8,0.28,1.00,0.55,0.93,0.09,0.61,1.00,0.85
paths_subject3_walkingTS2,True,6.7,103.9,1.7,1.9,1.3,2.3,6.7,4.8,2.0,3.4,0.19,0.72,0.54,0.73,0.09,0.33,0.81,1.00
paths_subject3_walkingTS3,True,7.5,7.9,1.3,1.4,0.5,0.9,7.5,4.4,2.1,2.1,0.18,0.61,0.36,0.96,0.19,0.47,0.55,0.60
paths_subject3_walkingTS4,True,10.3,10.1,1.7,0.8,2.5,0.8,10.3,4.6,2.5,1.5,0.20,0.90,0.34,0.85,0.15,0.48,0.59,0.68
paths_subject3_squats1,False,339.2,460.6,103.2,106.0,143.6,148.1,132.2,163.4,339.2,219.9,0.69,1.00,0.85,1.00,0.29,1.00,1.00,1.00
paths_subject3_STS1,False,392.3,597.6,110.4,111.8,118.9,89.1,161.2,151.4,392.3,163.0,0.59,1.00,0.74,1.00,0.30,1.00,1.00,1.00
paths_subject3_squats1,False,21.9,5.6,3.1,21.9,5.5,18.4,0.9,2.5,4.2,3.0,1.00,0.23,0.33,0.42,0.72,0.04,1.00,0.02
paths_subject3_walking1_full,True,8.2,185.8,1.5,6.0,2.7,2.0,6.5,8.2,3.7,7.7,0.38,1.00,0.65,0.85,0.13,0.67,1.00,0.90
paths_subject3_STS1,True,4.2,3.8,0.4,0.6,3.2,4.2,0.2,0.2,3.1,0.3,0.67,0.23,0.35,0.27,0.26,0.02,1.00,0.13
paths_subject3_walking1_v2,True,8.9,9.6,8.9,0.3,4.1,0.8,5.3,1.3,2.0,0.7,1.00,1.00,1.00,0.36,0.35,0.85,0.56,0.73
paths_subject3_walking2_v2,True,7.1,8.4,7.1,0.1,2.9,1.0,3.5,0.9,1.6,0.3,1.00,1.00,1.00,0.34,0.42,0.81,0.63,1.00
paths_subject3_walking3_v2,True,1.7,1.4,0.8,0.4,0.8,1.3,0.8,1.7,0.3,1.1,1.00,1.00,0.97,0.41,0.47,0.75,0.55,1.00
paths_subject3_walkingTS2_v2,True,1.3,104.0,0.4,0.0,1.2,0.1,1.3,0.2,0.2,0.3,1.00,1.00,0.96,0.45,0.44,0.61,0.55,1.00
paths_subject3_walkingTS3_v2,True,0.4,1.0,0.0,0.0,0.4,0.1,0.4,0.1,0.1,0.0,1.00,1.00,0.91,0.34,0.35,1.00,0.52,1.00
paths_subject3_walkingTS4_v2,True,1.5,1.1,0.1,0.3,0.7,1.4,0.6,1.5,0.1,0.3,1.00,1.00,0.85,0.38,0.44,0.92,0.50,1.00
paths_subject3_squats1_v2,False,29.2,16.8,17.4,29.2,6.2,9.2,1.8,4.6,8.8,6.7,0.41,1.00,0.16,0.79,1.00,1.00,0.65,1.00
paths_subject3_walking1_full_v2,True,9.4,184.2,9.4,6.6,4.2,3.4,5.5,4.8,2.1,3.2,1.00,1.00,1.00,0.36,0.58,0.85,0.57,1.00
paths_subject3_walking1_v3,True,4.8,5.5,4.8,4.0,2.5,4.0,4.7,1.8,1.6,0.3,1.00,1.00,0.85,0.52,0.32,1.00,1.00,1.00
paths_subject3_walking2_v3,True,4.5,6.3,4.5,1.7,2.3,2.4,3.4,1.8,1.4,0.7,1.00,1.00,0.90,0.54,0.28,1.00,1.00,1.00
paths_subject3_walking3_v3,True,4.9,2.8,2.1,3.7,2.6,4.9,2.3,1.3,0.6,0.4,0.82,1.00,0.86,0.47,0.33,1.00,1.00,1.00
paths_subject3_walkingTS2_v3,True,3.3,104.0,3.3,2.8,3.2,2.4,2.8,2.5,0.4,0.6,0.57,1.00,0.40,0.43,0.53,1.00,1.00,1.00
paths_subject3_walkingTS3_v3,True,3.5,3.8,2.7,2.0,3.5,3.5,3.4,3.4,0.5,0.5,0.62,0.69,0.72,0.32,0.21,1.00,1.00,1.00
paths_subject3_walkingTS4_v3,True,4.0,4.3,2.7,2.3,4.0,2.5,3.9,2.6,0.7,0.5,0.45,0.73,0.55,0.47,0.25,1.00,1.00,1.00
paths_subject3_squats1_v3,True,9.2,9.5,5.1,4.3,9.2,7.0,1.4,1.7,2.6,1.5,0.11,0.14,0.22,0.82,1.00,0.91,0.60,1.00
paths_subject3_walking1_full_v3,True,5.6,184.4,4.9,5.6,4.4,4.0,4.6,5.2,1.6,2.2,1.00,1.00,1.00,0.55,0.32,1.00,1.00,1.00
